gene	dup_class4	provenance	arrangement	TF_subfamily	cluster_id	breadth_CD14_Mono	breadth_CD16_Mono	breadth_Mono	breadth_cDC	breadth_pDC	breadth_Granulocyte	breadth_B_cell	breadth_Naive_B_cell	breadth_Intermediate_B_cell	breadth_Plasmablast	breadth_CD4_T_cell	breadth_CD4_Naive_T_cell	breadth_CD4_Memory_T_cell	breadth_Treg	breadth_CD8_T_cell	breadth_CD8_Naive_T_cell	breadth_CD8_Memory_T_cell	breadth_MAIT	breadth_NKT	breadth_NK	breadth_NK_CD56hi	breadth_NK_CD56low	breadth_ILC	breadth_HSPC	total_events	n_response_celltypes	is_responder
FOXC1	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0036	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	4	True
FOXD2	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
FOXE3	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
FOXF2	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
FOXQ1	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0036	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	True
CDX2	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
CRX	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DLX1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DLX2	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DLX3	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DLX4	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DLX5	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DLX6	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
GSX1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
HMX2	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
HMX3	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
IRX1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
IRX2	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
IRX3	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
IRX4	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
